protocol,size,usage_side,ts,rss,cpu,perf_base_ns,epoch_base_ns
grpc,10,client,90923678707917,27406336,2.5,90910014251917,1747938309475800000
grpc,10,client,90923680003667,27693056,2.4,90910014251917,1747938309475800000
grpc,10,client,90923681293834,28082176,2.4,90910014251917,1747938309475800000
grpc,10,client,90923682583250,28749824,1.8,90910014251917,1747938309475800000
grpc,10,client,90923683873667,29347840,2.5,90910014251917,1747938309475800000
grpc,10,client,90923685162875,29667328,1.8,90910014251917,1747938309475800000
grpc,10,client,90923686453084,29802496,1.7000000000000002,90910014251917,1747938309475800000
grpc,10,client,90923687744459,30011392,1.9,90910014251917,1747938309475800000
grpc,10,client,90923689037834,30142464,1.8,90910014251917,1747938309475800000
grpc,10,client,90923690332167,30363648,2.1,90910014251917,1747938309475800000
grpc,10,client,90923691624125,30539776,2.0,90910014251917,1747938309475800000
grpc,10,client,90923692914500,30662656,1.5,90910014251917,1747938309475800000
grpc,10,client,90923694204750,30973952,2.4,90910014251917,1747938309475800000
grpc,10,client,90923695583584,31862784,3.2,90910014251917,1747938309475800000
grpc,10,client,90923696835500,33193984,2.2,90910014251917,1747938309475800000
grpc,10,client,90923698173334,34062336,2.0,90910014251917,1747938309475800000
grpc,10,client,90923699506750,34168832,3.1,90910014251917,1747938309475800000
grpc,10,client,90923700837917,34172928,0.5,90910014251917,1747938309475800000
grpc,10,client,90923702160000,34193408,2.3,90910014251917,1747938309475800000
grpc,10,client,90923703472000,34193408,0.0,90910014251917,1747938309475800000
grpc,10,client,90923704800417,34201600,6.2,90910014251917,1747938309475800000
grpc,10,client,90923706103834,34201600,0.0,90910014251917,1747938309475800000
grpc,10,client,90923707396709,34209792,5.2,90910014251917,1747938309475800000
grpc,10,client,90923708695709,34336768,2.7,90910014251917,1747938309475800000
grpc,100,client,90967389242542,19013632,4.4,90953736585500,1747938353199232000
grpc,100,client,90967390881417,19955712,2.3,90953736585500,1747938353199232000
grpc,100,client,90967392213584,20103168,2.3,90953736585500,1747938353199232000
grpc,100,client,90967393525959,20291584,1.6,90953736585500,1747938353199232000
grpc,100,client,90967394837167,20930560,2.4,90953736585500,1747938353199232000
grpc,100,client,90967396150542,21504000,2.5,90953736585500,1747938353199232000
grpc,100,client,90967397451625,21770240,1.9,90953736585500,1747938353199232000
grpc,100,client,90967398760625,22020096,2.4,90953736585500,1747938353199232000
grpc,100,client,90967400063959,22179840,1.9,90953736585500,1747938353199232000
grpc,100,client,90967401358334,22401024,2.1,90953736585500,1747938353199232000
grpc,100,client,90967402654834,22618112,1.7000000000000002,90953736585500,1747938353199232000
grpc,100,client,90967403946584,22884352,3.1,90953736585500,1747938353199232000
grpc,100,client,90967405235625,23207936,2.4,90953736585500,1747938353199232000
grpc,100,client,90967406524375,23490560,2.4,90953736585500,1747938353199232000
grpc,100,client,90967407811500,23887872,2.4,90953736585500,1747938353199232000
grpc,100,client,90967409101625,24489984,2.4,90953736585500,1747938353199232000
grpc,100,client,90967410388167,24707072,2.4,90953736585500,1747938353199232000
grpc,100,client,90967411674917,24952832,2.3,90953736585500,1747938353199232000
grpc,100,client,90967412961667,25096192,2.5,90953736585500,1747938353199232000
grpc,100,client,90967414248875,25415680,1.9,90953736585500,1747938353199232000
grpc,100,client,90967415536917,25669632,2.4,90953736585500,1747938353199232000
grpc,100,client,90967416829334,26148864,1.9,90953736585500,1747938353199232000
grpc,100,client,90967418116709,26431488,2.1,90953736585500,1747938353199232000
grpc,100,client,90967419405959,26550272,2.3,90953736585500,1747938353199232000
grpc,100,client,90967420693917,26710016,2.3,90953736585500,1747938353199232000
grpc,100,client,90967421984875,27062272,2.4,90953736585500,1747938353199232000
grpc,100,client,90967423270917,27377664,2.4,90953736585500,1747938353199232000
grpc,100,client,90967424566500,27652096,2.3,90953736585500,1747938353199232000
grpc,100,client,90967425640625,27906048,2.6,90953736585500,1747938353199232000
grpc,100,client,90967426949334,28291072,2.3,90953736585500,1747938353199232000
grpc,100,client,90967428242209,28884992,1.9,90953736585500,1747938353199232000
grpc,100,client,90967429532209,29491200,2.4,90953736585500,1747938353199232000
grpc,100,client,90967430823417,29798400,1.8,90953736585500,1747938353199232000
grpc,100,client,90967432112834,29962240,1.7000000000000002,90953736585500,1747938353199232000
grpc,100,client,90967433404417,30150656,1.8,90953736585500,1747938353199232000
grpc,100,client,90967434699917,30285824,1.7000000000000002,90953736585500,1747938353199232000
grpc,100,client,90967435996875,30502912,2.2,90953736585500,1747938353199232000
grpc,100,client,90967437277792,30687232,1.9,90953736585500,1747938353199232000
grpc,100,client,90967438576000,30801920,1.5,90953736585500,1747938353199232000
grpc,100,client,90967439866834,31232000,2.4,90953736585500,1747938353199232000
grpc,100,client,90967441155917,31752192,2.6,90953736585500,1747938353199232000
grpc,100,client,90967442462959,33353728,3.0,90953736585500,1747938353199232000
grpc,100,client,90967443793709,34017280,1.6,90953736585500,1747938353199232000
grpc,100,client,90967445073792,34488320,2.7,90953736585500,1747938353199232000
grpc,100,client,90967446382417,34492416,1.8,90953736585500,1747938353199232000
grpc,100,client,90967447704917,34512896,2.3,90953736585500,1747938353199232000
grpc,100,client,90967449030292,34512896,0.0,90953736585500,1747938353199232000
grpc,100,client,90967450341250,34516992,5.0,90953736585500,1747938353199232000
grpc,100,client,90967451648584,34521088,1.3,90953736585500,1747938353199232000
grpc,100,client,90967452957584,34525184,3.5,90953736585500,1747938353199232000
grpc,100,client,90967454277834,34549760,3.2,90953736585500,1747938353199232000
grpc,100,client,90967455326000,34705408,2.6,90953736585500,1747938353199232000
grpc,1000,client,91011266030709,19066880,1.4,90997483539834,1747938396947285000
grpc,1000,client,91011267673667,19984384,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011268975792,20135936,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011270298125,20312064,1.5,90997483539834,1747938396947285000
grpc,1000,client,91011271615084,20889600,2.5,90997483539834,1747938396947285000
grpc,1000,client,91011272923459,21368832,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011274235125,21598208,1.9,90997483539834,1747938396947285000
grpc,1000,client,91011275540875,21794816,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011276847334,21901312,1.4,90997483539834,1747938396947285000
grpc,1000,client,91011278139250,22179840,2.3,90997483539834,1747938396947285000
grpc,1000,client,91011279432584,22413312,2.4,90997483539834,1747938396947285000
