mode,size,req_id,t0,t_req,t_res,t_in,t_out,perf_base_ns,epoch_base_ns,req_size_bytes,res_size_bytes
grpc,1,8d0d6608aec29ed0,37807689021208,37807691378000,37807693517291,37807692993166,37807693174958,37801799555250,1747488516924895000,2,100
grpc,1,d326cd5400518de3,37807824075625,37807826391291,37807828455666,37807827972750,37807828099583,37801799555250,1747488516924895000,2,100
grpc,1,69fad1da8ce36f6f,37807959535750,37807961895291,37807963892041,37807963413083,37807963542916,37801799555250,1747488516924895000,2,100
grpc,1,4f4590d2935f1584,37808094502333,37808096848625,37808098869541,37808098379375,37808098516416,37801799555250,1747488516924895000,2,100
grpc,1,7e3958155c38f063,37808228893000,37808231250500,37808233275541,37808232787625,37808232899500,37801799555250,1747488516924895000,2,100
grpc,1,1e458ceb85b2e401,37808363230625,37808365460916,37808367504166,37808367036583,37808367174458,37801799555250,1747488516924895000,2,100
grpc,1,e8482224bad80e75,37808498901416,37808501202333,37808503173083,37808502699666,37808502827416,37801799555250,1747488516924895000,2,100
grpc,1,9483d828cd5a2670,37808634296916,37808636662791,37808638664625,37808638155916,37808638270208,37801799555250,1747488516924895000,2,100
grpc,1,d6d76f3af2695b59,37808770326166,37808772617333,37808774703083,37808774217208,37808774360583,37801799555250,1747488516924895000,2,100
grpc,1,54b53c5645537cc9,37808905419375,37808907810291,37808909958208,37808909432875,37808909582333,37801799555250,1747488516924895000,2,100
grpc,1,23e399a0eefe0033,37809043711083,37809046060291,37809048020750,37809047550250,37809047687833,37801799555250,1747488516924895000,2,100
grpc,1,9fbc79e2b8f0530c,37809179242916,37809181603250,37809183622833,37809183115625,37809183243916,37801799555250,1747488516924895000,2,100
grpc,1,fdf848ec746176f4,37809314636083,37809316863041,37809318991750,37809318525375,37809318650958,37801799555250,1747488516924895000,2,100
grpc,1,15b51200bf2a2f6e,37809450542333,37809452883625,37809454863041,37809454380500,37809454504541,37801799555250,1747488516924895000,2,100
grpc,1,5e7b43dc950d206e,37809585796375,37809588095708,37809590054500,37809589587916,37809589716708,37801799555250,1747488516924895000,2,100
grpc,1,5d312f675057f6d6,37809720746833,37809722995666,37809724990291,37809724497625,37809724611666,37801799555250,1747488516924895000,2,100
grpc,1,347f470f093cff9a,37809855550041,37809857893708,37809859882541,37809859396875,37809859553916,37801799555250,1747488516924895000,2,100
